Year,Country,Continent,Emission
2011,Senegal,Africa,0.58833415
2011,Singapore,Asia,4.320161437
2011,Solomon Islands,Oceania,0.368304169
2011,Sierra Leone,Africa,0.152044168
2011,El Salvador,North America,1.103998574
2011,Somalia,Africa,0.05870688
2011,Serbia,Europe,6.799114997
2011,Sao Tome And Principe,Africa,0.587909256
2011,Suriname,South America,3.649913361
2011,Slovak Republic,Europe,6.367545917
2011,Slovenia,Europe,7.504259702
2011,Sweden,Europe,5.518421481
2011,Swaziland,Africa,0.864988313
2011,Seychelles,Africa,6.835706362
2011,Syria,Asia,2.736990943
2011,Turks And Caicos Islands,North America,6.010149084
2011,Chad,Africa,0.043830424
2011,Togo,Africa,0.319443622
2011,Thailand,Asia,4.534491734
2011,Tajikistan,Asia,0.35894763
2011,Turkmenistan,Asia,12.18366658
2011,Timor-Leste,Asia,0.16364808
2011,Tonga,Oceania,0.983561959
2011,Trinidad And Tobago,North America,37.14005424
2011,Tunisia,Africa,2.402455639
2011,Turkey,Asia,4.383104516
2011,Tanzania,Africa,0.1549349
2011,Uganda,Africa,0.110886576
2011,Ukraine,Europe,6.262351962
2011,Uruguay,South America,2.296200685
2011,United States,North America,17.02021634
2011,Uzbekistan,Asia,3.914921266
2011,St. Vincent And The Grenadines,North America,2.179923359
2011,Venezuela,South America,6.416333581
2011,Vietnam,Asia,1.971433571
2011,Vanuatu,Oceania,0.591265773
2011,West Bank And Gaza,Asia,0.572406877
2011,Samoa,Oceania,1.252110076
2011,Yemen,Asia,0.919967617
2011,South Africa,Africa,9.257216472
2011,Dem Rep Of Congo,Africa,0.050302688
2011,Zambia,Africa,0.212449645
2011,Zimbabwe,Africa,0.691697897
